,obj,g_psf,r_psf,i_psf,z_psf,y_psf,sg_psf,sr_psf,si_psf,sz_psf,sy_psf,g_r_psf,z_y_psf,sig_g_r_psf,sig_z_y_psf,g_ap,r_ap,i_ap,z_ap,y_ap,sg_ap,sr_ap,si_ap,sz_ap,sy_ap,g_r_ap,z_y_ap,sig_g_r_ap,sig_z_y_ap
0,64.0,15.777670803762788,15.297369652111747,15.071238281862687,14.976902827914936,14.992761572371176,0.02169262524196099,0.020236038454102066,0.014894067399371139,0.029471215245730556,0.04615079171653881,0.4803011516510409,-0.01585874445624036,0.029665927293851115,0.054758087111617844,19.141915097015893,18.8520564391111,18.545178276793408,19.068767177254703,20.18285962297564,0.056633298097793924,0.04757142096019632,0.021300029114971687,0.04932799265245045,0.0394982138678876,0.28985865790479437,-1.1140924457209387,0.07396195336526609,0.06319303567540963
1,97.0,16.445282330786803,15.197286608680226,14.5575505482318,14.212337671275426,14.017652152923542,0.02585961219876179,0.020512387561855867,0.01914818818947764,0.028628492237110486,0.03356135844679543,1.2479957221065767,0.19468551835188386,0.03300723536678176,0.04411298390003313,19.805806296815383,18.75648835131704,18.02074100281859,18.30719821129062,19.279465529428514,0.047149656746743165,0.08120223717893443,0.023012377175089502,0.050352536468950965,0.07091639310697999,1.0493179454983448,-0.9722673181378951,0.09389831443747872,0.08697420732700446
2,101.0,14.70368643189339,13.661006613727166,13.141517816279606,12.92312382634134,12.840352488493075,0.020974326989763637,0.018581947282334643,0.014720071294972232,0.020080051475666227,0.048411107960266285,1.0426798181662242,0.08277133784826596,0.02802161946563744,0.05241034097586051,18.056417992889443,17.223114828784738,16.62994660680591,17.02094439574038,18.05098584144148,0.055059462850890306,0.10221268826229414,0.01832171628357187,0.32049317146625234,0.08910630305318296,0.8333031641047057,-1.0300414457011016,0.11609900124993966,0.3326496748838067
3,108.0,13.855750091430306,13.13332173999266,12.888260337147434,12.78089732064985,12.791457254873126,0.024152609448805495,0.02532416855992133,0.022349088452409096,0.03459464642269545,0.03573949690912767,0.7224283514376459,-0.010559934223277168,0.03499517190181863,0.04974033775949718,17.229147771083362,16.696892762970627,16.34467197257581,16.87724317727683,18.08031627358882,0.06590351655618246,0.060304998695207085,0.007775266134496866,0.05628032029045334,0.08175856904586123,0.5322550081127346,-1.2030730963119893,0.0893306574592393,0.09925692955367334
4,109.0,15.638634622370738,15.116135308201702,14.870492938706647,14.804029437069499,14.853749115078145,0.02199095925481524,0.034463915852176015,0.01670781868945629,0.034313402121815745,0.0547192124921166,0.5224993141690355,-0.049719678008646184,0.04088231628482923,0.06458793835485724,19.01890273370867,18.695041914607764,18.366137426584913,18.92218882785854,20.0630091696761,0.06616097086508073,0.09161114688519925,0.017727910586990275,0.0819748072917598,0.05795504325795904,0.3238608191009078,-1.1408203418175589,0.1130038773645914,0.1003925100271582
5,111.0,15.854061450139444,15.313056808732561,15.04693506034966,14.935964470831337,14.927752808157638,0.021524739203349744,0.022303695649045486,0.018100677138279817,0.031196502339043017,0.04938952904999129,0.5410046414068823,0.008211662673698328,0.03099627779875306,0.05841701240195231,19.214904912341183,18.871698811477877,18.52761054845986,19.023835170001632,20.135640687071284,0.058844457459460264,0.06903395434000452,0.02267466667275719,0.05798157879788834,0.03910832162477523,0.3432061008633056,-1.1118055170696515,0.0907102917287562,0.06993800326147863
6,118.0,15.705003578798898,15.325466167616753,15.108322772704081,15.00914981929886,14.988840115615142,0.02304092253262863,0.024691830268536365,0.020699648862520143,0.034245554851169875,0.045185026930536686,0.37953741118214523,0.02030970368371854,0.0337723347307349,0.05669607293082838,19.0722933536014,18.905315874420857,18.624086142867938,19.124814213306035,20.168078734621098,0.05890709552165113,0.09993028213231145,0.02395064676677575,0.07371483637988874,0.04314389888564547,0.16697747918054162,-1.0432645213150629,0.11600046202425357,0.08541237096327772
7,123.0,15.41089354444806,14.169070026111875,13.574203012345365,13.305426129759752,13.174151816007768,0.022347667618344863,0.020913715546693128,0.021299883365499924,0.02545859617524912,0.04165912582157457,1.2418235183361848,0.13127431375198384,0.030607217219930555,0.048822360486074315,18.789553417341832,17.747800242669484,17.081690337007025,17.414350537969867,18.42115263026105,0.0530402911646044,0.07662044751866032,0.011864673559238438,0.14058256913187897,0.0832909015643323,1.0417531746723476,-1.006802092291185,0.09318779675894152,0.163403895385388
8,131.0,14.336623860803096,14.06316547789359,13.948258517131627,13.957574417343714,14.06382803148367,0.023545371208125308,0.02791218772908449,0.021209273910881385,0.036690732705563125,0.06778885958718797,0.2734583829095065,-0.10625361413995549,0.03651677325766984,0.07708138134856281,17.70518667079436,17.63775582951711,17.4448686070742,18.06721244699425,19.29312465988359,0.06385454656264271,0.10069404588388291,0.02057682200269198,0.06228519879064342,0.0944879234149333,0.06743084127725041,-1.2259122128893374,0.11923377874237746,0.11316984430340207
9,141.0,15.406302311314262,14.671019539647885,14.384671853248715,14.27063829674158,14.285009363972808,0.021577465679446052,0.022200334834119137,0.0190037292101561,0.021975982878352097,0.048677229455939434,0.7352827716663768,-0.014371067231227386,0.0309587126976345,0.05340801897632791,18.7707300172641,18.23544437399117,17.855775680747453,18.361148795152282,19.514736836764524,0.056183512689044895,0.06165240920600608,0.01073842879153361,0.056613478370169265,0.08769314593583825,0.5352856432729283,-1.1535880416122417,0.08341226923531629,0.10437994911521009
10,150.0,14.959603954110118,13.567745438735155,12.861610859255027,12.52133236662456,12.318366827057229,0.026205355499833115,0.030907116816699245,0.028756620918244827,0.023675381976975902,0.04026231344992554,1.3918585153749632,0.2029655395673302,0.040521235504285,0.04670736126239386,18.32991193043007,17.122523659028857,16.340246873840556,16.612548109439295,17.56946387180456,0.055715002052316866,0.04646313659000832,0.016439231318337508,0.05580886430247189,0.06173375457240792,1.2073882714012143,-0.9569157623652664,0.07254643006703668,0.08322070528623281
