,wavelength,newthrou,newthrouerr,oldthrou
0,500.0,0.00018288120626846495,0.0006741244729699619,0.2150646162049417
1,501.0,0.00025240394786612506,0.0007304966195813318,0.21529450521990362
2,502.0,0.00034540377984068935,0.0007923745609851682,0.21552439423486555
3,503.0,0.0004643330490398713,0.0008588302307365064,0.21575428324982748
4,504.0,0.0006072916010121593,0.0009231909906993286,0.21598417226478941
5,505.0,0.0007986454233215651,0.000987305079517686,0.21621406127975137
6,506.0,0.001037674748715106,0.0010498218552764482,0.2164439502947133
7,507.0,0.0013311299521639524,0.0011164363231961287,0.21667383930967524
8,508.0,0.0016760255642885346,0.0011800700595520186,0.2168171817995726
9,509.0,0.0020751963684703984,0.001243321631561185,0.2169460998686259
10,510.0,0.0025548936515064433,0.0013075345720381024,0.2170750179376792
11,511.0,0.0030889529876092234,0.0013693392444339143,0.2172039360067325
12,512.0,0.003692873984988416,0.0014257065185563588,0.21733285407578576
13,513.0,0.00435886270567902,0.0014782432211853838,0.21746177214483906
14,514.0,0.0050822420569246836,0.0015269752389224943,0.21759069021389235
15,515.0,0.005892351406631794,0.0015716072140260747,0.21771960828294565
16,516.0,0.006785181639321501,0.0016140578054272643,0.21784852635199892
17,517.0,0.007753289162387744,0.0016545818062828224,0.2179774444210522
18,518.0,0.008790115231808816,0.0016928950091703433,0.2181063624901055
19,519.0,0.00987557173965647,0.0017262257702470728,0.2182352805591588
20,520.0,0.011019966247858302,0.0017564409464644595,0.2183641986282121
21,521.0,0.012226176602685941,0.001784407817106008,0.21849311669726537
22,522.0,0.013468273681268697,0.001807309696772851,0.21844227272399913
23,523.0,0.014762557491397306,0.0018268232442962757,0.2182566072189932
24,524.0,0.01610942188488721,0.0018436997652629041,0.21807094171398728
25,525.0,0.017487480910401865,0.0018585527588282924,0.21788527620898135
26,526.0,0.018905639970751474,0.0018729158410929624,0.21769961070397542
27,527.0,0.020355051742310285,0.0018881067068556665,0.2175139451989695
28,528.0,0.021825312156665774,0.001902157983474869,0.2173282796939636
29,529.0,0.02333791465577826,0.0019175477139915962,0.21714261418895767
30,530.0,0.024869331194636787,0.0019320706733349006,0.21695694868395174
31,531.0,0.02639636783656762,0.001942437281555584,0.2167712831789458
32,532.0,0.02794881938393198,0.0019534272889669764,0.21658561767393988
33,533.0,0.029501467200231092,0.0019615128428584765,0.21639995216893396
34,534.0,0.031078537241271027,0.001971157883797497,0.21621428666392803
35,535.0,0.03266203797617961,0.0019795633807932487,0.21602862115892213
36,536.0,0.0342421122804804,0.001988394752072262,0.21583149625567954
37,537.0,0.03580879322636294,0.0019960542184257446,0.21560572285684526
38,538.0,0.03739234045920729,0.00200336418570139,0.215379949458011
39,539.0,0.0389772447590309,0.0020099231238695993,0.21515417605917675
40,540.0,0.04057857731100334,0.0020150326259145025,0.2149284026603425
41,541.0,0.04220663486740921,0.0020201479077695357,0.21470262926150824
42,542.0,0.04382140561618251,0.0020235923452177813,0.21447685586267398
43,543.0,0.04543719809098388,0.002024974028924524,0.21425108246383973
44,544.0,0.047062553211114605,0.002025073419653084,0.21402530906500547
45,545.0,0.048700276086226874,0.002025537548416492,0.21379953566617121
46,546.0,0.050341044107229865,0.002024011935163687,0.21357376226733696
47,547.0,0.05196643220800807,0.0020224034254048306,0.2133479888685027
48,548.0,0.05359023649831528,0.0020151063082470572,0.21312221546966845
49,549.0,0.05522899005255136,0.002008188287689618,0.2128964420708342
50,550.0,0.0568582604888276,0.002000143527126459,0.21267066867199994
51,551.0,0.058460991037629674,0.0019902133736364436,0.21228371876694926
52,552.0,0.06005001869902937,0.0019778189813603386,0.2118967688618986
53,553.0,0.06162155942335052,0.0019639912565954007,0.21150981895684795
54,554.0,0.06318171931015462,0.0019484942729582292,0.21112286905179728
55,555.0,0.06474123555162445,0.001932744668370058,0.2107359191467466
56,556.0,0.06631851435323097,0.001913492616033,0.21034896924169594
57,557.0,0.06783760178117543,0.0018963065614297885,0.2099620193366453
58,558.0,0.06933991635616091,0.0018773852719491928,0.20957506943159462
59,559.0,0.07091356092307606,0.0018582871183199818,0.20918811952654395
60,560.0,0.0724753943821632,0.0018404806560603283,0.20880116962149328
61,561.0,0.07395719035306761,0.0018247111456730705,0.20841421971644264
62,562.0,0.07541807598971484,0.0018108897000461202,0.20802726981139197
63,563.0,0.0768718669549689,0.0018006164015012091,0.2076403199063413
64,564.0,0.07828715297803016,0.0017894289478846716,0.20725337000129063
65,565.0,0.07962562470416745,0.0017786228871663722,0.20675337112516085
66,566.0,0.08090214091318892,0.001769811872670119,0.20620815266059941
67,567.0,0.08212256281978764,0.001763904014524883,0.20566293419603798
68,568.0,0.08328560503401335,0.0017585561994814412,0.20511771573147655
69,569.0,0.08442960626944429,0.0017544553412918208,0.20457249726691512
70,570.0,0.08549601836444802,0.0017521467343869826,0.20402727880235366
71,571.0,0.08647146065131434,0.0017444590337251146,0.20348206033779223
72,572.0,0.08738770981259039,0.0017346850443009413,0.2029368418732308
73,573.0,0.08826118117764352,0.0017304846766033337,0.20239162340866937
74,574.0,0.08907934938177428,0.0017297471522559667,0.20184640494410794
75,575.0,0.0898090463805886,0.0017309185656830893,0.2013011864795465
76,576.0,0.09041599433350032,0.0017313230568748706,0.20075596801498505
77,577.0,0.09098377590494566,0.0017341492853922922,0.20021074955042362
78,578.0,0.09148479368133647,0.001737108150412788,0.19966553108586219
79,579.0,0.09201869104957432,0.0017432944319072854,0.19925602213998847
80,580.0,0.0925983031572444,0.0017512489867738076,0.19902745921903173
